"What is the capital of Syria?","Damascus"
"What is 2 + 2?","4"
"What is the chemical symbol for water?","H2O"
"What does CPU stand for?","Central Processing Unit"
"What does RAM stand for?","Random Access Memory"
"Which protocol is used for secure HTTP transactions?","HTTPS"
"What does IP stand for?","Internet Protocol"
"What is the longest river in the world?","Nile"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the largest planet in our solar system?","Jupiter"
"What is the tallest mountain in the world?","Mount Everest"
"What is the square root of 81?","9"
"Who discovered penicillin?","Alexander Fleming"
"Who invented the telephone?","Alexander Graham Bell"
"Who is the CEO of Tesla?","Elon Musk"
"What does HTTP stand for?","HyperText Transfer Protocol"
"Which company did Jeff Bezos found?","Amazon"
"What does API stand for?","Application Programming Interface"
"Which programming language is known for its use in web development alongside HTML and CSS?","JavaScript"
"Which planet is known as the 'Red Planet'?","Mars"
